filename,s_sharp,s_comp,raw_score,rating,vetoed,veto_reason,n_detections,burst_group
DSC00827.heif,0.164651,0.488100,0.867227,-1,1,raw=0.867 < min_raw=3.100 (cut penalty applied? True),7,1
DSC00845.heif,0.191518,0.923987,2.597244,-1,1,raw=2.597 < min_raw=3.100 (cut penalty applied? False),1,1
DSC00849.heif,0.385376,0.840742,2.679918,-1,1,raw=2.680 < min_raw=3.100 (cut penalty applied? False),1,2
DSC00851.heif,0.585937,0.931086,3.206622,1,0,,1,2
DSC00879.heif,0.078860,0.721425,1.321853,-1,1,raw=1.322 < min_raw=3.100 (cut penalty applied? True),1,3
DSC00880.heif,0.000000,0.798950,1.397375,-1,1,sharpness=0.000 < threshold=0.050,1,4
DSC00886.heif,0.195605,0.825921,1.758210,-1,1,raw=1.758 < min_raw=3.100 (cut penalty applied? True),1,5
DSC00887.heif,0.134698,0.804488,1.613267,-1,1,raw=1.613 < min_raw=3.100 (cut penalty applied? True),1,6
DSC00888.heif,0.474007,0.648523,1.732319,-1,1,raw=1.732 < min_raw=3.100 (cut penalty applied? True),7,7
DSC00890.heif,0.068722,0.487345,0.721445,-1,1,raw=0.721 < min_raw=3.100 (cut penalty applied? True),2,8
DSC00892.heif,0.012670,0.393083,0.401711,-1,1,sharpness=0.013 < threshold=0.050,5,9
DSC00893.heif,0.023169,0.419633,0.483837,-1,1,sharpness=0.023 < threshold=0.050,7,10
DSC00894.heif,0.119746,0.830841,1.656723,-1,1,raw=1.657 < min_raw=3.100 (cut penalty applied? True),1,11
DSC00895.heif,0.000000,0.442044,0.505109,-1,1,sharpness=0.000 < threshold=0.050,2,12
DSC00896.heif,0.464153,0.830852,2.173359,-1,1,raw=2.173 < min_raw=3.100 (cut penalty applied? True),5,13
DSC00897.heif,0.123302,0.832428,1.666022,-1,1,raw=1.666 < min_raw=3.100 (cut penalty applied? True),1,14
DSC00942.heif,0.266575,0.859033,1.947445,-1,1,raw=1.947 < min_raw=3.100 (cut penalty applied? True),1,15
DSC00951.heif,0.081216,0.000000,0.121824,-1,1,no_detection,0,16
DSC00952.heif,0.275915,0.457472,0.957553,-1,1,raw=0.958 < min_raw=3.100 (cut penalty applied? True),2,17
DSC00958.heif,0.084409,0.633988,1.111583,-1,1,raw=1.112 < min_raw=3.100 (cut penalty applied? True),2,18
DSC00959.heif,0.126463,0.589886,1.064408,-1,1,raw=1.064 < min_raw=3.100 (cut penalty applied? True),2,19
DSC00960.heif,1.000000,0.535783,2.239458,-1,1,raw=2.239 < min_raw=3.100 (cut penalty applied? True),3,20
DSC00961.heif,0.193969,0.647742,1.310310,-1,1,raw=1.310 < min_raw=3.100 (cut penalty applied? True),1,21
DSC00962.heif,0.174204,0.497395,0.904795,-1,1,raw=0.905 < min_raw=3.100 (cut penalty applied? True),2,22
DSC00968.heif,0.867862,0.767953,2.621676,-1,1,raw=2.622 < min_raw=3.100 (cut penalty applied? True),8,23
DSC00969.heif,0.052990,0.661136,1.132327,-1,1,raw=1.132 < min_raw=3.100 (cut penalty applied? True),1,24
DSC00971.heif,0.235773,0.838072,1.848840,-1,1,raw=1.849 < min_raw=3.100 (cut penalty applied? True),1,25
DSC00973.heif,1.000000,0.000000,1.500000,-1,1,no_detection,0,25
DSC00978.heif,0.082967,0.674546,1.210815,-1,1,raw=1.211 < min_raw=3.100 (cut penalty applied? True),1,26
DSC00980.heif,0.033452,0.425238,0.513274,-1,1,sharpness=0.033 < threshold=0.050,1,27
DSC00982.heif,0.135062,0.528676,0.924282,-1,1,raw=0.924 < min_raw=3.100 (cut penalty applied? True),1,28
DSC00983.heif,0.324433,0.832505,1.967913,-1,1,raw=1.968 < min_raw=3.100 (cut penalty applied? True),6,29
DSC00984.heif,0.178714,0.545698,1.032316,-1,1,raw=1.032 < min_raw=3.100 (cut penalty applied? True),3,30
DSC01017.heif,0.850866,0.728139,3.096647,-1,1,raw=3.097 < min_raw=3.100 (cut penalty applied? False),2,30
DSC01027.heif,0.335416,0.752487,2.384341,-1,1,raw=2.384 < min_raw=3.100 (cut penalty applied? False),1,30
DSC01111.heif,0.017849,0.557734,0.821108,-1,1,sharpness=0.018 < threshold=0.050,9,30
DSC01148.heif,0.338427,0.874252,2.693270,-1,1,raw=2.693 < min_raw=3.100 (cut penalty applied? False),2,30
DSC01149.heif,0.387805,0.928287,2.902424,-1,1,raw=2.902 < min_raw=3.100 (cut penalty applied? False),1,30
