filename,s_sharp,s_comp,raw_score,rating,vetoed,veto_reason,n_detections,burst_group
DSC00827.heif,0.164651,0.488316,0.867766,-1,1,raw=0.868 < min_raw=3.100 (cut penalty applied? True),7,1
DSC00845.heif,0.186441,0.925063,2.592319,-1,1,raw=2.592 < min_raw=3.100 (cut penalty applied? False),1,1
DSC00849.heif,0.386224,0.840837,2.681428,-1,1,raw=2.681 < min_raw=3.100 (cut penalty applied? False),1,2
DSC00851.heif,0.405716,0.896328,2.849394,-1,1,raw=2.849 < min_raw=3.100 (cut penalty applied? False),1,2
DSC00879.heif,0.086213,0.717490,1.323043,-1,1,raw=1.323 < min_raw=3.100 (cut penalty applied? True),1,3
DSC00880.heif,0.000000,0.798758,1.396895,-1,1,sharpness=0.000 < threshold=0.050,1,4
DSC00886.heif,0.191043,0.827569,1.755488,-1,1,raw=1.755 < min_raw=3.100 (cut penalty applied? True),1,5
DSC00887.heif,0.157398,0.809879,1.660795,-1,1,raw=1.661 < min_raw=3.100 (cut penalty applied? True),2,6
DSC00888.heif,0.486422,0.648079,1.749831,-1,1,raw=1.750 < min_raw=3.100 (cut penalty applied? True),6,7
DSC00890.heif,0.069234,0.489679,0.728048,-1,1,raw=0.728 < min_raw=3.100 (cut penalty applied? True),3,8
DSC00892.heif,0.314515,0.675483,1.560480,-1,1,raw=1.560 < min_raw=3.100 (cut penalty applied? True),1,9
DSC00893.heif,0.023208,0.418514,0.481098,-1,1,sharpness=0.023 < threshold=0.050,7,10
DSC00894.heif,0.109105,0.729889,1.388379,-1,1,raw=1.388 < min_raw=3.100 (cut penalty applied? True),2,11
DSC00895.heif,0.001715,0.442551,0.508949,-1,1,sharpness=0.002 < threshold=0.050,2,12
DSC00896.heif,0.467667,0.830859,2.178648,-1,1,raw=2.179 < min_raw=3.100 (cut penalty applied? True),5,13
DSC00897.heif,0.129934,0.851713,1.724185,-1,1,raw=1.724 < min_raw=3.100 (cut penalty applied? True),1,14
DSC00942.heif,0.266491,0.859186,1.947702,-1,1,raw=1.948 < min_raw=3.100 (cut penalty applied? True),1,15
DSC00951.heif,0.081216,0.000000,0.121824,-1,1,no_detection,0,16
DSC00952.heif,0.275849,0.473360,0.997175,-1,1,raw=0.997 < min_raw=3.100 (cut penalty applied? True),2,17
DSC00958.heif,0.087273,0.637318,1.124204,-1,1,raw=1.124 < min_raw=3.100 (cut penalty applied? True),2,18
DSC00959.heif,0.136685,0.596257,1.095670,-1,1,raw=1.096 < min_raw=3.100 (cut penalty applied? True),2,19
DSC00960.heif,0.561347,0.727095,2.059758,-1,1,raw=2.060 < min_raw=3.100 (cut penalty applied? True),1,20
DSC00961.heif,0.191725,0.644716,1.299378,-1,1,raw=1.299 < min_raw=3.100 (cut penalty applied? True),1,21
DSC00962.heif,0.177330,0.577444,1.109603,-1,1,raw=1.110 < min_raw=3.100 (cut penalty applied? True),1,22
DSC00968.heif,0.603734,0.507740,1.574953,-1,1,raw=1.575 < min_raw=3.100 (cut penalty applied? True),1,23
DSC00969.heif,0.053775,0.667602,1.149666,-1,1,raw=1.150 < min_raw=3.100 (cut penalty applied? True),1,24
DSC00971.heif,0.013004,0.660230,1.070082,-1,1,sharpness=0.013 < threshold=0.050,1,25
DSC00973.heif,1.000000,0.000000,1.500000,-1,1,no_detection,0,25
DSC00978.heif,0.079106,0.668456,1.189799,-1,1,raw=1.190 < min_raw=3.100 (cut penalty applied? True),1,26
DSC00980.heif,0.031116,0.430927,0.523992,-1,1,sharpness=0.031 < threshold=0.050,2,27
DSC00982.heif,0.130022,0.529792,0.919513,-1,1,raw=0.920 < min_raw=3.100 (cut penalty applied? True),1,28
DSC00983.heif,0.323134,0.832239,1.965298,-1,1,raw=1.965 < min_raw=3.100 (cut penalty applied? True),6,29
DSC00984.heif,0.177855,0.529909,0.991554,-1,1,raw=0.992 < min_raw=3.100 (cut penalty applied? True),3,30
DSC01017.heif,0.850866,0.728311,3.097076,-1,1,raw=3.097 < min_raw=3.100 (cut penalty applied? False),2,30
DSC01027.heif,0.334098,0.752644,2.382755,-1,1,raw=2.383 < min_raw=3.100 (cut penalty applied? False),1,30
DSC01111.heif,0.017849,0.557810,0.821299,-1,1,sharpness=0.018 < threshold=0.050,7,30
DSC01148.heif,0.342154,0.874039,2.698328,-1,1,raw=2.698 < min_raw=3.100 (cut penalty applied? False),2,30
DSC01149.heif,0.384974,0.928834,2.899546,-1,1,raw=2.900 < min_raw=3.100 (cut penalty applied? False),1,30
DSC01166.heif,0.401109,0.705025,2.364225,-1,1,raw=2.364 < min_raw=3.100 (cut penalty applied? False),1,30
DSC01181.heif,0.221317,0.894601,2.568479,-1,1,raw=2.568 < min_raw=3.100 (cut penalty applied? False),1,30
